City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,kaitangata,-46.28,169.85,44.01,77,7,1.99,NZ,1600517987
88,bam,29.11,58.36,87.55,12,0,14.09,IR,1600517987
89,sal rei,16.18,-22.92,86.0,62,75,11.41,CV,1600517987
90,namibe,-15.2,12.15,66.2,77,75,11.41,AO,1600517987
91,hambantota,6.12,81.12,87.8,70,75,18.34,LK,1600517988
92,hvide sande,56.0,8.13,57.99,77,99,1.01,DK,1600517988
93,georgetown,5.41,100.34,86.0,70,20,9.17,MY,1600517705
94,fortuna,40.6,-124.16,57.0,100,90,6.93,US,1600517988
95,pisco,-13.7,-76.22,57.99,87,40,4.7,PE,1600517988
96,jamestown,42.1,-79.24,39.2,80,1,2.98,US,1600517824
97,hithadhoo,-0.6,73.08,83.48,72,1,11.9,MV,1600517799
98,riyadh,24.69,46.72,102.2,11,0,9.17,SA,1600517858
99,busselton,-33.65,115.33,46.0,98,29,20.62,AU,1600517988
100,mar del plata,-38.0,-57.56,50.0,93,40,5.82,AR,1600517847
101,rtishchevo,52.26,43.79,49.84,72,68,17.05,RU,1600517989
102,sangueya,10.7,-14.37,84.56,74,66,6.46,GN,1600517989
103,sisimiut,66.94,-53.67,37.11,77,100,5.41,GL,1600517989
104,ahipara,-35.17,173.17,51.15,83,15,6.08,NZ,1600517989
105,leshukonskoye,64.9,45.76,44.92,63,98,3.51,RU,1600517989
106,grenaa,56.42,10.88,64.0,93,50,1.12,DK,1600517989
107,hobart,-42.88,147.33,57.2,76,20,8.05,AU,1600517734
108,tiarei,-17.53,-149.33,75.2,78,20,3.36,PF,1600517989
109,ostrovnoy,68.05,39.51,47.91,76,100,10.63,RU,1600517990
110,san patricio,19.22,-104.7,77.54,85,96,3.62,MX,1600517990
111,cabedelo,-6.98,-34.83,80.6,69,75,11.41,BR,1600517913
112,castro,-24.79,-50.01,70.83,54,99,7.05,BR,1600517990
113,kodiak,57.79,-152.41,39.2,93,90,4.7,US,1600517990
114,ebebiyin,2.15,11.34,78.8,78,75,3.53,GQ,1600517785
115,salalah,17.02,54.09,86.0,70,20,14.99,OM,1600517990
116,ponta do sol,32.67,-17.1,75.2,69,20,5.82,PT,1600517990
117,chuy,-33.7,-53.46,54.39,62,53,9.04,UY,1600517990
118,mezen,65.85,44.24,40.35,90,100,5.61,RU,1600517991
119,torbay,47.67,-52.73,53.01,93,90,17.22,CA,1600517991
120,sur,22.57,59.53,90.95,46,0,11.45,OM,1600517991
